Patient ID: 48, Timestamp: 1716187169659, Label: ECG, Data: -0.4826381645131604
Patient ID: 29, Timestamp: 1716187169670, Label: ECG, Data: -0.4060095689812515
Patient ID: 10, Timestamp: 1716187169680, Label: ECG, Data: -0.03289065776428598
Patient ID: 50, Timestamp: 1716187169721, Label: ECG, Data: -0.5418212549492954
Patient ID: 46, Timestamp: 1716187169721, Label: ECG, Data: 0.7192795869191708
Patient ID: 17, Timestamp: 1716187169721, Label: ECG, Data: 0.28859074271218976
Patient ID: 36, Timestamp: 1716187169665, Label: ECG, Data: -0.3033576715395821
Patient ID: 31, Timestamp: 1716187169710, Label: ECG, Data: -0.3101155850010029
Patient ID: 40, Timestamp: 1716187169702, Label: ECG, Data: 0.12789098549090727
Patient ID: 16, Timestamp: 1716187169682, Label: ECG, Data: 0.33370134412814023
Patient ID: 28, Timestamp: 1716187170656, Label: ECG, Data: -0.07634821752284643
Patient ID: 7, Timestamp: 1716187170665, Label: ECG, Data: -0.5164624691950299
Patient ID: 48, Timestamp: 1716187170665, Label: ECG, Data: 0.6064959318656616
Patient ID: 29, Timestamp: 1716187170680, Label: ECG, Data: -0.04117444056526059
Patient ID: 4, Timestamp: 1716187170680, Label: ECG, Data: 0.192724619618537
Patient ID: 8, Timestamp: 1716187170680, Label: ECG, Data: 0.27269626976150274
Patient ID: 25, Timestamp: 1716187170680, Label: ECG, Data: 0.39601114399563586
Patient ID: 10, Timestamp: 1716187170680, Label: ECG, Data: 0.542156882923298
Patient ID: 33, Timestamp: 1716187170680, Label: ECG, Data: -0.19032689311013362
Patient ID: 9, Timestamp: 1716187170680, Label: ECG, Data: -0.1332048725170511
Patient ID: 16, Timestamp: 1716187170680, Label: ECG, Data: 0.3446429400846894
Patient ID: 3, Timestamp: 1716187170680, Label: ECG, Data: -0.4058736289334582
Patient ID: 36, Timestamp: 1716187170675, Label: ECG, Data: -0.4735559458309771
Patient ID: 41, Timestamp: 1716187170700, Label: ECG, Data: 0.042320193699216156
Patient ID: 26, Timestamp: 1716187170695, Label: ECG, Data: -0.6063546908204823
Patient ID: 40, Timestamp: 1716187170705, Label: ECG, Data: 0.2687979573713508
Patient ID: 31, Timestamp: 1716187170707, Label: ECG, Data: -0.5077101170775943
Patient ID: 5, Timestamp: 1716187170707, Label: ECG, Data: 0.500532787318724
Patient ID: 49, Timestamp: 1716187170723, Label: ECG, Data: -0.3435505723516978
Patient ID: 17, Timestamp: 1716187170725, Label: ECG, Data: -0.2196576710212534
Patient ID: 46, Timestamp: 1716187170725, Label: ECG, Data: -0.03157147842159124
Patient ID: 20, Timestamp: 1716187170723, Label: ECG, Data: 0.7361596042352566
Patient ID: 50, Timestamp: 1716187170723, Label: ECG, Data: 0.3090945252313609
Patient ID: 22, Timestamp: 1716187171651, Label: ECG, Data: 0.5491571390251545
